epoch,accuracy,loss,val_accuracy,val_loss,cat_acc,dog_acc
0,0.8995,1.255127715518815,0.9575,0.17321524572399766,0.9475,0.9675
1,0.964,0.17758843055941584,0.945,0.2566599017339367,0.99,0.9
2,0.965,0.15726611168070562,0.955,0.12972375621771448,0.9625,0.9475
3,0.968,0.15230938315347398,0.9625,0.12725244144437511,0.9475,0.9775
4,0.9675,0.1518838434036044,0.955,0.1418375338003699,0.94,0.97
5,0.971,0.1516352055613778,0.9625,0.1183974367622497,0.9625,0.9625
6,0.9675,0.1752392361531157,0.945,0.22469067867240738,0.9825,0.9075
7,0.965,0.15428414406117513,0.9625,0.13445343168304263,0.965,0.96
8,0.9745,0.12315374781894625,0.9525,0.15866623950625172,0.9675,0.9375
9,0.97,0.1409050182393612,0.955,0.17803115949263096,0.9725,0.9375
